,Name,Position,Age,Nationalities,Club,Market_value_(m€)
59,João Neves,Defensive Midfield,20,Portugal,Paris Saint-Germain,60.0
60,Gabriel Martinelli,Left Winger,23,"Brazil, Italy",Arsenal FC,60.0
61,Bremer,Centre-Back,27,Brazil,Juventus FC,60.0
62,Anthony Gordon,Left Winger,23,England,Newcastle United,60.0
63,Eberechi Eze,Attacking Midfield,26,"England, Nigeria",Crystal Palace,60.0
64,Martín Zubimendi,Defensive Midfield,25,Spain,Real Sociedad,60.0
65,Raphinha,Left Winger,27,"Brazil, Italy",FC Barcelona,60.0
66,Éder Militão,Centre-Back,26,"Brazil, Spain",Real Madrid,60.0
67,Achraf Hakimi,Right-Back,26,"Morocco, Spain",Paris Saint-Germain,60.0
68,Loïs Openda,Centre-Forward,24,"Belgium, Morocco",RB Leipzig,60.0
69,Theo Hernández,Left-Back,27,"France, Spain",AC Milan,60.0
70,Frenkie de Jong,Central Midfield,27,Netherlands,FC Barcelona,60.0
71,Dani Olmo,Attacking Midfield,26,Spain,FC Barcelona,60.0
72,Ousmane Dembélé,Right Winger,27,France,Paris Saint-Germain,60.0
73,Marcus Rashford,Left Winger,27,"England, St. Kitts & Nevis",Manchester United,60.0
74,Leroy Sané,Right Winger,28,"Germany, France",Bayern Munich,60.0
75,Leny Yoro,Centre-Back,19,"France, Cote d'Ivoire",Manchester United,55.0
76,Kobbie Mainoo,Central Midfield,19,"England, Ghana",Manchester United,55.0
77,Nuno Mendes,Left-Back,22,Portugal,Paris Saint-Germain,55.0
78,Micky van de Ven,Centre-Back,23,Netherlands,Tottenham Hotspur,55.0
79,Vitinha,Central Midfield,24,Portugal,Paris Saint-Germain,55.0
80,Pedro Neto,Right Winger,24,Portugal,Chelsea FC,55.0
81,Amadou Onana,Defensive Midfield,23,"Belgium, Senegal",Aston Villa,55.0
82,Douglas Luiz,Central Midfield,26,Brazil,Juventus FC,55.0
83,Lucas Paquetá,Attacking Midfield,27,"Brazil, Portugal",West Ham United,55.0
84,Cody Gakpo,Left Winger,25,"Netherlands, Togo",Liverpool FC,55.0
85,Dejan Kulusevski,Attacking Midfield,24,"Sweden, North Macedonia",Tottenham Hotspur,55.0
86,Jules Koundé,Right-Back,26,"France, Benin",FC Barcelona,55.0
87,Moussa Diaby,Right Winger,25,"France, Mali",Al-Ittihad Club,55.0
88,Gabriel Jesus,Centre-Forward,27,Brazil,Arsenal FC,55.0
89,Teun Koopmeiners,Attacking Midfield,26,Netherlands,Juventus FC,55.0
90,Ben White,Right-Back,27,England,Arsenal FC,55.0
91,Matthijs de Ligt,Centre-Back,25,Netherlands,Manchester United,55.0
92,Jack Grealish,Left Winger,29,"England, Ireland",Manchester City,55.0
93,Mohamed Salah,Right Winger,32,Egypt,Liverpool FC,55.0
94,Alejandro Garnacho,Left Winger,20,"Argentina, Spain",Manchester United,50.0
95,Aleksandar Pavlovic,Defensive Midfield,20,"Germany, Serbia",Bayern Munich,50.0
96,Savinho,Right Winger,20,Brazil,Manchester City,50.0
97,Fermín López,Central Midfield,21,Spain,FC Barcelona,50.0
98,Benjamin Sesko,Centre-Forward,21,Slovenia,RB Leipzig,50.0
99,João Pedro,Centre-Forward,23,Brazil,Brighton & Hove Albion,50.0
100,Levi Colwill,Centre-Back,21,England,Chelsea FC,50.0
101,Gonçalo Ramos,Centre-Forward,23,Portugal,Paris Saint-Germain,50.0
102,Álex Baena,Left Winger,23,Spain,Villarreal CF,50.0
103,Mohammed Kudus,Right Winger,24,Ghana,West Ham United,50.0
104,Conor Gallagher,Central Midfield,24,"England, Ireland",Atlético de Madrid,50.0
105,Jeremie Frimpong,Right Midfield,23,"Netherlands, Ghana",Bayer 04 Leverkusen,50.0
106,Lisandro Martínez,Centre-Back,26,Argentina,Manchester United,50.0
107,Manuel Ugarte,Defensive Midfield,23,Uruguay,Manchester United,50.0
108,Joshua Zirkzee,Centre-Forward,23,"Netherlands, Nigeria",Manchester United,50.0
109,Alphonso Davies,Left-Back,24,"Canada, Liberia",Bayern Munich,50.0
110,Takefusa Kubo,Right Winger,23,Japan,Real Sociedad,50.0
111,Diogo Jota,Centre-Forward,28,Portugal,Liverpool FC,50.0
112,Mikel Merino,Central Midfield,28,Spain,Arsenal FC,50.0
113,Christian Pulisic,Right Winger,26,"United States, Croatia",AC Milan,50.0
114,Jarrod Bowen,Right Winger,27,England,West Ham United,50.0
115,João Palhinha,Defensive Midfield,29,Portugal,Bayern Munich,50.0
116,Ivan Toney,Centre-Forward,28,"England, Jamaica",Al-Ahli SFC,50.0
117,Federico Dimarco,Left-Back,27,Italy,Inter Milan,50.0
118,Marquinhos,Centre-Back,30,"Brazil, Portugal",Paris Saint-Germain,50.0
119,Joshua Kimmich,Defensive Midfield,29,Germany,Bayern Munich,50.0
120,Brennan Johnson,Right Winger,23,"Wales, England",Tottenham Hotspur,48.0
121,Arda Güler,Right Winger,19,Türkiye,Real Madrid,45.0
122,Victor Boniface,Centre-Forward,23,Nigeria,Bayer 04 Leverkusen,45.0
123,Evan Ferguson,Centre-Forward,20,"Ireland, England",Brighton & Hove Albion,45.0
124,Giorgio Scalvini,Centre-Back,20,Italy,Atalanta BC,45.0
125,Pape Matar Sarr,Central Midfield,22,Senegal,Tottenham Hotspur,45.0
126,Johan Bakayoko,Right Winger,21,"Belgium, Cote d'Ivoire",PSV Eindhoven,45.0
127,Edmond Tapsoba,Centre-Back,25,Burkina Faso,Bayer 04 Leverkusen,45.0
128,Destiny Udogie,Left-Back,22,"Italy, Nigeria",Tottenham Hotspur,45.0
129,Pedro Porro,Right-Back,25,Spain,Tottenham Hotspur,45.0
130,Gonçalo Inácio,Centre-Back,23,Portugal,Sporting CP,45.0
131,Jonathan David,Centre-Forward,24,"Canada, United States",LOSC Lille,45.0
132,Matheus Cunha,Centre-Forward,25,Brazil,Wolverhampton Wanderers,45.0
133,Kaoru Mitoma,Left Winger,27,Japan,Brighton & Hove Albion,45.0
134,Min-jae Kim,Centre-Back,28,"Korea, South",Bayern Munich,45.0
135,Riccardo Calafiori,Left-Back,22,Italy,Arsenal FC,45.0
136,Giorgi Mamardashvili,Goalkeeper,24,Georgia,Valencia CF,45.0
137,Exequiel Palacios,Central Midfield,26,Argentina,Bayer 04 Leverkusen,45.0
138,Pau Torres,Centre-Back,27,Spain,Aston Villa,45.0
139,Marc Guéhi,Centre-Back,24,"England, Cote d'Ivoire",Crystal Palace,45.0
140,Sven Botman,Centre-Back,24,Netherlands,Newcastle United,45.0
141,Diogo Costa,Goalkeeper,25,"Portugal, Switzerland",FC Porto,45.0
142,Ibrahima Konaté,Centre-Back,25,"France, Mali",Liverpool FC,45.0
143,Benjamin Pavard,Centre-Back,28,France,Inter Milan,45.0
144,Dayot Upamecano,Centre-Back,26,"France, Guinea-Bissau",Bayern Munich,45.0
145,Manuel Akanji,Centre-Back,29,"Switzerland, Nigeria",Manchester City,45.0
146,Dominic Solanke,Centre-Forward,27,"England, Nigeria",Tottenham Hotspur,45.0
147,Alejandro Grimaldo,Left-Back,29,Spain,Bayer 04 Leverkusen,45.0
148,Hakan Çalhanoğlu,Defensive Midfield,30,"Türkiye, Germany",Inter Milan,45.0
149,Heung-min Son,Left Winger,32,"Korea, South",Tottenham Hotspur,45.0
150,Kevin De Bruyne,Attacking Midfield,33,Belgium,Manchester City,45.0
151,Jarrad Branthwaite,Centre-Back,22,England,Everton FC,42.0
152,Enzo Millot,Attacking Midfield,22,"France, Martinique",VfB Stuttgart,42.0
153,Leon Bailey,Right Winger,27,Jamaica,Aston Villa,42.0
154,Estêvão,Right Winger,17,Brazil,Sociedade Esportiva Palmeiras,40.0
155,Murillo,Centre-Back,22,Brazil,Nottingham Forest,40.0
156,Ousmane Diomande,Centre-Back,21,Cote d'Ivoire,Sporting CP,40.0
157,Pau Cubarsí,Centre-Back,17,Spain,FC Barcelona,40.0
158,Désiré Doué,Left Winger,19,"France, Cote d'Ivoire",Paris Saint-Germain,40.0
159,Kenan Yıldız,Left Winger,19,"Türkiye, Germany",Juventus FC,40.0
160,Mathys Tel,Left Winger,19,"France, Guadeloupe",Bayern Munich,40.0
161,Nicolas Jackson,Centre-Forward,23,"Senegal, The Gambia",Chelsea FC,40.0
162,João Gomes,Central Midfield,23,Brazil,Wolverhampton Wanderers,40.0
163,Rico Lewis,Right-Back,20,England,Manchester City,40.0
164,Willian Pacho,Centre-Back,23,Ecuador,Paris Saint-Germain,40.0
165,Piero Hincapié,Centre-Back,22,Ecuador,Bayer 04 Leverkusen,40.0
166,António Silva,Centre-Back,21,Portugal,SL Benfica,40.0
167,Alejandro Balde,Left-Back,21,"Spain, Dominican Republic",FC Barcelona,40.0
168,Castello Lukeba,Centre-Back,21,"France, Angola",RB Leipzig,40.0
169,Éderson,Central Midfield,25,Brazil,Atalanta BC,40.0
170,Matheus Nunes,Central Midfield,26,"Portugal, Brazil",Manchester City,40.0
171,Oihan Sancet,Attacking Midfield,24,Spain,Athletic Bilbao,40.0
172,Santiago Gimenez,Centre-Forward,23,"Mexico, Italy",Feyenoord Rotterdam,40.0
173,Randal Kolo Muani,Centre-Forward,26,"France, DR Congo",Paris Saint-Germain,40.0
174,Ian Maatsen,Left-Back,22,"Netherlands, Suriname",Aston Villa,40.0
175,Ryan Gravenberch,Defensive Midfield,22,"Netherlands, Suriname",Liverpool FC,40.0
176,Morten Hjulmand,Defensive Midfield,25,Denmark,Sporting CP,40.0
177,Omar Marmoush,Centre-Forward,25,"Egypt, Canada",Eintracht Frankfurt,40.0
178,Morgan Gibbs-White,Attacking Midfield,24,"England, Jamaica",Nottingham Forest,40.0
179,Bryan Mbeumo,Right Winger,25,"Cameroon, France",Brentford FC,40.0
180,Ademola Lookman,Second Striker,27,"Nigeria, England",Atalanta BC,40.0
181,Nico Schlotterbeck,Centre-Back,25,Germany,Borussia Dortmund,40.0
182,Diogo Dalot,Right-Back,25,Portugal,Manchester United,40.0
183,Robin Le Normand,Centre-Back,28,"Spain, France",Atlético de Madrid,40.0
184,Mikel Oyarzabal,Centre-Forward,27,Spain,Real Sociedad,40.0
185,Joelinton,Central Midfield,28,Brazil,Newcastle United,40.0
186,Donyell Malen,Right Winger,25,"Netherlands, Suriname",Borussia Dortmund,40.0
187,Gianluigi Donnarumma,Goalkeeper,25,Italy,Paris Saint-Germain,40.0
188,Brahim Díaz,Attacking Midfield,25,"Morocco, Spain",Real Madrid,40.0
189,Brais Méndez,Attacking Midfield,27,Spain,Real Sociedad,40.0
190,Lucas Hernández,Left-Back,28,"France, Spain",Paris Saint-Germain,40.0
191,Serhou Guirassy,Centre-Forward,28,"Guinea, France",Borussia Dortmund,40.0
192,Gregor Kobel,Goalkeeper,27,Switzerland,Borussia Dortmund,40.0
193,Kingsley Coman,Left Winger,28,"France, Guadeloupe",Bayern Munich,40.0
194,Julian Brandt,Attacking Midfield,28,Germany,Borussia Dortmund,40.0
195,Nathan Aké,Centre-Back,29,"Netherlands, Cote d'Ivoire",Manchester City,40.0
196,Serge Gnabry,Left Winger,29,"Germany, Cote d'Ivoire",Bayern Munich,40.0
197,Maximilian Kilman,Centre-Back,27,"England, Ukraine",West Ham United,38.0
198,Jurrien Timber,Centre-Back,23,"Netherlands, Curacao",Arsenal FC,38.0
199,Sandro Tonali,Central Midfield,24,Italy,Newcastle United,38.0
200,Boubacar Kamara,Defensive Midfield,25,"France, Senegal",Aston Villa,38.0
201,John Stones,Centre-Back,30,England,Manchester City,38.0
202,Mike Maignan,Goalkeeper,29,"France, French Guiana",AC Milan,38.0
203,Samu Aghehowa,Centre-Forward,20,"Spain, Nigeria",FC Porto,35.0
204,Alan Varela,Defensive Midfield,23,Argentina,FC Porto,35.0
205,Evanilson,Centre-Forward,25,Brazil,AFC Bournemouth,35.0
206,Jamie Gittens,Left Winger,20,"England, Barbados",Borussia Dortmund,35.0
207,Mohamed Simakan,Centre-Back,24,"France, Guinea",Al-Nassr FC,35.0
208,Jhon Durán,Centre-Forward,20,Colombia,Aston Villa,35.0
209,Roméo Lavia,Defensive Midfield,20,Belgium,Chelsea FC,35.0
210,Georgiy Sudakov,Attacking Midfield,22,Ukraine,Shakhtar Donetsk,35.0
211,Malo Gusto,Right-Back,21,"France, Martinique",Chelsea FC,35.0
212,Jean-Clair Todibo,Centre-Back,24,"France, French Guiana",West Ham United,35.0
213,Rayan Aït-Nouri,Left-Back,23,"Algeria, France",Wolverhampton Wanderers,35.0
214,Harvey Elliott,Central Midfield,21,England,Liverpool FC,35.0
215,Cheick Doucouré,Defensive Midfield,24,Mali,Crystal Palace,35.0
216,Mason Greenwood,Right Winger,23,"England, Jamaica",Olympique Marseille,35.0
217,Noni Madueke,Right Winger,22,"England, Nigeria",Chelsea FC,35.0
218,Tino Livramento,Right-Back,22,"England, Scotland",Newcastle United,35.0
219,Karim Adeyemi,Left Winger,22,"Germany, Nigeria",Borussia Dortmund,35.0
220,Nico González,Right Winger,26,"Argentina, Italy",Juventus FC,35.0
221,Brian Brobbey,Centre-Forward,22,"Netherlands, Ghana",Ajax Amsterdam,35.0
222,Reece James,Right-Back,25,England,Chelsea FC,35.0
223,Khéphren Thuram,Central Midfield,23,"France, Guadeloupe",Juventus FC,35.0
224,Curtis Jones,Central Midfield,23,England,Liverpool FC,35.0
225,Quinten Timber,Central Midfield,23,"Netherlands, Curacao",Feyenoord Rotterdam,35.0
226,Ezri Konsa,Centre-Back,27,"England, DR Congo",Aston Villa,35.0
227,Yves Bissouma,Defensive Midfield,28,"Mali, Cote d'Ivoire",Tottenham Hotspur,35.0
228,Joey Veerman,Central Midfield,26,Netherlands,PSV Eindhoven,35.0
229,Dávid Hancko,Centre-Back,26,Slovakia,Feyenoord Rotterdam,35.0
230,Edson Álvarez,Defensive Midfield,27,Mexico,West Ham United,35.0
231,Harvey Barnes,Left Winger,27,"England, Scotland",Newcastle United,35.0
232,Davide Frattesi,Central Midfield,25,Italy,Inter Milan,35.0
233,Alessandro Buongiorno,Centre-Back,25,Italy,SSC Napoli,35.0
234,Axel Disasi,Centre-Back,26,"France, DR Congo",Chelsea FC,35.0
235,Richarlison,Centre-Forward,27,Brazil,Tottenham Hotspur,35.0
236,Nayef Aguerd,Centre-Back,28,Morocco,Real Sociedad,35.0
237,Rodrigo Bentancur,Defensive Midfield,27,Uruguay,Tottenham Hotspur,35.0
238,Fabián Ruiz,Central Midfield,28,Spain,Paris Saint-Germain,35.0
239,Jerdy Schouten,Defensive Midfield,27,Netherlands,PSV Eindhoven,35.0
240,Mason Mount,Attacking Midfield,25,England,Manchester United,35.0
241,Artem Dovbyk,Centre-Forward,27,Ukraine,AS Roma,35.0
242,Takehiro Tomiyasu,Right-Back,26,Japan,Arsenal FC,35.0
243,Gianluca Scamacca,Centre-Forward,25,Italy,Atalanta BC,35.0
244,Guglielmo Vicario,Goalkeeper,28,Italy,Tottenham Hotspur,35.0
245,David Raya,Goalkeeper,29,Spain,Arsenal FC,35.0
246,Joachim Andersen,Centre-Back,28,Denmark,Fulham FC,35.0
247,Ederson,Goalkeeper,31,"Brazil, Portugal",Manchester City,35.0
248,André Onana,Goalkeeper,28,Cameroon,Manchester United,35.0
249,Oleksandr Zinchenko,Left-Back,27,Ukraine,Arsenal FC,35.0
250,Leandro Trossard,Left Winger,30,Belgium,Arsenal FC,35.0
251,Raheem Sterling,Left Winger,30,"England, Jamaica",Arsenal FC,35.0
252,Charles De Ketelaere,Attacking Midfield,23,Belgium,Atalanta BC,34.0
253,Ilya Zabarnyi,Centre-Back,22,Ukraine,AFC Bournemouth,32.0
254,Jacob Ramsey,Attacking Midfield,23,England,Aston Villa,32.0
255,Pedro Gonçalves,Left Winger,26,Portugal,Sporting CP,32.0
256,Lutsharel Geertruida,Right-Back,24,"Netherlands, Curacao",RB Leipzig,32.0
257,Scott McTominay,Central Midfield,28,"Scotland, England",SSC Napoli,32.0
258,Fikayo Tomori,Centre-Back,26,"England, Canada",AC Milan,32.0
259,Rúben Neves,Defensive Midfield,27,Portugal,Al-Hilal SFC,32.0
260,Vitor Roque,Centre-Forward,19,Brazil,Real Betis Balompié,30.0
261,Jorrel Hato,Left-Back,18,"Netherlands, Curacao",Ajax Amsterdam,30.0
262,Lucas Beraldo,Centre-Back,21,Brazil,Paris Saint-Germain,30.0
263,Pablo Barrios,Central Midfield,21,Spain,Atlético de Madrid,30.0
264,Maghnes Akliouche,Right Winger,22,"France, Algeria",AS Monaco,30.0
265,Adam Wharton,Defensive Midfield,20,England,Crystal Palace,30.0
266,Hugo Ekitiké,Centre-Forward,22,"France, Cameroon",Eintracht Frankfurt,30.0
267,Samuel Lino,Left Winger,24,Brazil,Atlético de Madrid,30.0
268,Elye Wahi,Centre-Forward,21,"France, Cote d'Ivoire",Olympique Marseille,30.0
269,Simon Adingra,Right Winger,22,Cote d'Ivoire,Brighton & Hove Albion,30.0
270,Bilal El Khannouss,Attacking Midfield,20,"Morocco, Belgium",Leicester City,30.0
271,Cristhian Mosquera,Centre-Back,20,"Spain, Colombia",Valencia CF,30.0
272,Odilon Kossounou,Centre-Back,23,Cote d'Ivoire,Atalanta BC,30.0
273,Maximilian Beier,Centre-Forward,22,Germany,Borussia Dortmund,30.0
274,Youssouf Fofana,Defensive Midfield,25,"France, Mali",AC Milan,30.0
275,Yéremy Pino,Right Winger,22,Spain,Villarreal CF,30.0
276,Mykhaylo Mudryk,Left Winger,23,Ukraine,Chelsea FC,30.0
277,Amine Adli,Left Winger,24,"Morocco, France",Bayer 04 Leverkusen,30.0
278,Dani Vivian,Centre-Back,25,Spain,Athletic Bilbao,30.0
279,Pepê,Left Winger,27,"Brazil, Italy",FC Porto,30.0
280,Kiernan Dewsbury-Hall,Central Midfield,26,England,Chelsea FC,30.0
281,Benoît Badiashile,Centre-Back,23,"France, DR Congo",Chelsea FC,30.0
282,João Félix,Second Striker,25,Portugal,Chelsea FC,30.0
283,Tijjani Reijnders,Central Midfield,26,Netherlands,AC Milan,30.0
284,Andrea Cambiaso,Left-Back,24,Italy,Juventus FC,30.0
285,Jakub Kiwior,Centre-Back,24,Poland,Arsenal FC,30.0
286,Mats Wieffer,Defensive Midfield,25,Netherlands,Brighton & Hove Albion,30.0
287,Jadon Sancho,Left Winger,24,"England, Jamaica",Chelsea FC,30.0
288,Ferran Torres,Right Winger,24,Spain,FC Barcelona,30.0
289,Ibrahim Sangaré,Defensive Midfield,27,Cote d'Ivoire,Nottingham Forest,30.0
290,Ferdi Kadıoğlu,Left-Back,25,"Türkiye, Netherlands",Brighton & Hove Albion,30.0
291,Hiroki Ito,Centre-Back,25,Japan,Bayern Munich,30.0
292,Pervis Estupiñán,Left-Back,26,"Ecuador, Spain",Brighton & Hove Albion,30.0
293,Federico Chiesa,Right Winger,27,Italy,Liverpool FC,30.0
294,Noussair Mazraoui,Right-Back,27,"Morocco, Netherlands",Manchester United,30.0
295,Joe Willock,Central Midfield,25,"England, Montserrat",Newcastle United,30.0
296,Eddie Nketiah,Centre-Forward,25,"England, Ghana",Crystal Palace,30.0
297,Albert Gudmundsson,Second Striker,27,Iceland,ACF Fiorentina,30.0
298,Marc Cucurella,Left-Back,26,Spain,Chelsea FC,30.0
299,Tomas Soucek,Defensive Midfield,29,Czech Republic,West Ham United,30.0
300,Marcos Llorente,Right Midfield,29,Spain,Atlético de Madrid,30.0
301,Sergej Milinković-Savić,Central Midfield,29,"Serbia, Spain",Al-Hilal SFC,30.0
302,Viktor Tsygankov,Right Winger,27,Ukraine,Girona FC,30.0
303,Aleksandr Golovin,Attacking Midfield,28,Russia,AS Monaco,30.0
304,Unai Simón,Goalkeeper,27,Spain,Athletic Bilbao,30.0
305,Rodrigo De Paul,Central Midfield,30,"Argentina, Italy",Atlético de Madrid,30.0
306,Youri Tielemans,Central Midfield,27,"Belgium, DR Congo",Aston Villa,30.0
307,Andrew Robertson,Left-Back,30,Scotland,Liverpool FC,30.0
308,Konrad Laimer,Central Midfield,27,Austria,Bayern Munich,30.0
309,Andreas Christensen,Centre-Back,28,Denmark,FC Barcelona,30.0
310,Jonathan Tah,Centre-Back,28,"Germany, Cote d'Ivoire",Bayer 04 Leverkusen,30.0
311,John McGinn,Central Midfield,30,Scotland,Aston Villa,30.0
312,Adrien Rabiot,Central Midfield,29,France,Olympique Marseille,30.0
313,Virgil van Dijk,Centre-Back,33,"Netherlands, Suriname",Liverpool FC,30.0
314,Romelu Lukaku,Centre-Forward,31,"Belgium, DR Congo",SSC Napoli,30.0
315,Neymar,Left Winger,32,Brazil,Al-Hilal SFC,30.0
316,Mateo Kovacic,Central Midfield,30,Croatia,Manchester City,30.0
317,Yankuba Minteh,Right Winger,20,The Gambia,Brighton & Hove Albion,28.0
318,Hugo Larsson,Central Midfield,20,Sweden,Eintracht Frankfurt,28.0
319,Danilo,Defensive Midfield,23,Brazil,Nottingham Forest,28.0
320,Mateo Retegui,Centre-Forward,25,"Italy, Argentina",Atalanta BC,28.0
321,Georginio Rutter,Centre-Forward,22,"France, Martinique",Brighton & Hove Albion,28.0
322,Josip Stanisic,Right-Back,24,"Croatia, Germany",Bayern Munich,28.0
323,David Neres,Right Winger,27,Brazil,SSC Napoli,28.0
324,Samuele Ricci,Defensive Midfield,23,Italy,Torino FC,28.0
325,Orkun Kökçü,Central Midfield,23,"Türkiye, Netherlands",SL Benfica,28.0
326,Angelo Stiller,Defensive Midfield,23,Germany,VfB Stuttgart,28.0
327,Matty Cash,Right-Back,27,"Poland, England",Aston Villa,28.0
328,Nahuel Molina,Right-Back,26,Argentina,Atlético de Madrid,28.0
329,Vitaliy Mykolenko,Left-Back,25,Ukraine,Everton FC,28.0
330,Angel Gomes,Attacking Midfield,24,"England, Portugal",LOSC Lille,28.0
331,Emile Smith Rowe,Attacking Midfield,24,England,Fulham FC,28.0
332,Yoane Wissa,Centre-Forward,28,"DR Congo, France",Brentford FC,28.0
333,Deniz Undav,Centre-Forward,28,"Germany, Türkiye",VfB Stuttgart,28.0
334,Ermedin Demirovic,Centre-Forward,26,Bosnia-Herzegovina,VfB Stuttgart,28.0
335,Denis Zakaria,Defensive Midfield,28,"Switzerland, DR Congo",AS Monaco,28.0
336,Malcom,Right Winger,27,"Brazil, Russia",Al-Hilal SFC,28.0
337,Mathias Jensen,Central Midfield,28,Denmark,Brentford FC,28.0
338,Taiwo Awoniyi,Centre-Forward,27,Nigeria,Nottingham Forest,28.0
339,Manuel Locatelli,Defensive Midfield,26,Italy,Juventus FC,28.0
340,Joe Gomez,Centre-Back,27,"England, The Gambia",Liverpool FC,28.0
341,Xaver Schlager,Central Midfield,27,Austria,RB Leipzig,28.0
342,Stanislav Lobotka,Defensive Midfield,30,Slovakia,SSC Napoli,28.0
343,Luke Shaw,Left-Back,29,England,Manchester United,28.0
344,Jan Oblak,Goalkeeper,31,Slovenia,Atlético de Madrid,28.0
345,Emiliano Martínez,Goalkeeper,32,"Argentina, Spain",Aston Villa,28.0
346,Alisson,Goalkeeper,32,Brazil,Liverpool FC,28.0
347,Aleksandar Mitrović,Centre-Forward,30,Serbia,Al-Hilal SFC,28.0
348,Thiago Almada,Attacking Midfield,23,"Argentina, Italy",Botafogo de Futebol e Regatas,27.0
